text_column,tokenized_text
Humanity at its best  there is a hope ,"['humanity', 'best', 'hope']"
These are the real Jews and real followers of Tohrat,"['real', 'jews', 'real', 'followers', 'tohrat']"
We must prosecute,"['must', 'prosecute']"
Bravo you must be praised You are right all people all faiths can live together Politicians divide,"['bravo', 'must', 'praised', 'right', 'people', 'faiths', 'live', 'together', 'politicians', 'divide']"
Such courage Thank you for standing up for humanity ,"['courage', 'thank', 'standing', 'humanity']"
Respect to your humanity,"['respect', 'humanity']"
May God Almighty bless you for making all rightminded justiceoriented people proud,"['may', 'god', 'almighty', 'bless', 'making', 'rightminded', 'justiceoriented', 'people', 'proud']"
"
Whether yes or no are you in favor of this demonstration","['whether', 'yes', 'favor', 'demonstration']"
Something beautiful ,"['something', 'beautiful']"
thank you so much,"['thank', 'much']"
good people Im glad they exist,"['good', 'people', 'im', 'glad', 'exist']"
There are good hearts and things in the world too,"['good', 'hearts', 'things', 'world']"
Love u all,"['love', 'u']"
Same coin,['coin']
this is beautifull,['beautifull']
Wonderful  Ceasefire now ,"['wonderful', 'ceasefire']"
We love you for your selflessness adherence to your own beliefs and dignity,"['love', 'selflessness', 'adherence', 'beliefs', 'dignity']"
It’s really hard to pick the antiSemites in this crowd,"['really', 'hard', 'pick', 'antisemites', 'crowd']"
WIND OF CHANGE,"['wind', 'change']"
Albert Einstein would be so proud of them,"['albert', 'einstein', 'would', 'proud']"
I love you my brothers and sisters,"['love', 'brothers', 'sisters']"
"The Zionists must be kicked out of Israel
Israeli Zionists are Ashkenazi Jews ie the Kazarian Mafia and are not Jews
They are a group of Satan
They are a fraudulent criminal group","['zionists', 'must', 'kicked', 'israel', 'israeli', 'zionists', 'ashkenazi', 'jews', 'ie', 'kazarian', 'mafia', 'jews', 'group', 'satan', 'fraudulent', 'criminal', 'group']"
" ALL civilized people support Palestine

FromTheRiverToTheSea","['civilized', 'people', 'support', 'palestine', 'fromtherivertothesea']"
"They don’t seem scared and intimidated 
Baddiel","['seem', 'scared', 'intimidated', 'baddiel']"
"Are they also Hamas

Does that mean they are antisemites
Awesome 
Great job","['also', 'hamas', 'mean', 'antisemites', 'awesome', 'great', 'job']"
Thats something,"['thats', 'something']"
Awesome  brothers Wish I was there yl give those cute kids some treats,"['awesome', 'brothers', 'wish', 'yl', 'give', 'cute', 'kids', 'treats']"
Great job brothers Wish I was there yl give those cute kids some treats,"['great', 'job', 'brothers', 'wish', 'yl', 'give', 'cute', 'kids', 'treats']"
Let us all stand together  and PRAY for them ,"['let', 'us', 'stand', 'together', 'pray']"
I wonder if John Arnold made a stop in the nations capital to bring some cameras into town,"['wonder', 'john', 'arnold', 'made', 'stop', 'nations', 'capital', 'bring', 'cameras', 'town']"
We love you all,['love']
Well done The people are for Palestine and against the genocidal Zionist regime,"['well', 'done', 'people', 'palestine', 'genocidal', 'zionist', 'regime']"
True heroes,"['true', 'heroes']"
If they can March So can we all,['march']
but why are they in the US,['us']
Thank you From a Muslim Thank you a thousand times,"['thank', 'muslim', 'thank', 'thousand', 'times']"
Decent human beings ,"['decent', 'human', 'beings']"
Thank you for your support to the people of Palestine This is not a matter of religion or race This is a matter of humanity,"['thank', 'support', 'people', 'palestine', 'matter', 'religion', 'race', 'matter', 'humanity']"
What a problem for the US The Jews and the Jews but Zionists I wonder if theyd let them walk in FLA they dont allow ANY manifestation against Jews No antisemitism Except that the Palestinians are Semites Freedom of Expression hahahaha,"['problem', 'us', 'jews', 'jews', 'zionists', 'wonder', 'theyd', 'let', 'walk', 'fla', 'dont', 'allow', 'manifestation', 'jews', 'antisemitism', 'except', 'palestinians', 'semites', 'freedom', 'expression', 'hahahaha']"
Do you have more groups,['groups']
"Thank very much for exposing the Zionism and the Zionists 
Because of your efforts the world  got educated about the evilness of Zionism 
ZionismIsNotJudaism","['thank', 'much', 'exposing', 'zionism', 'zionists', 'efforts', 'world', 'got', 'educated', 'evilness', 'zionism', 'zionismisnotjudaism']"
"Wow look at all those antisemitic ppl 

I mean wait whats the token excuse now for the Zionists when they see this ","['wow', 'look', 'antisemitic', 'ppl', 'mean', 'wait', 'whats', 'token', 'excuse', 'zionists', 'see']"
I love you all THANK YOU,"['love', 'thank']"
"Nethanyahu they all are knows your ugly face 
Shame you killer of innocent Muslims children","['nethanyahu', 'knows', 'ugly', 'face', 'shame', 'killer', 'innocent', 'muslims', 'children']"
"
 I do have a genuine question tho about this I have seen many Israelis calling these rallies as anti Semitic I mean like if it is why do the Jewish communities also join in 

Are you going to call them Kapo Some of them are Orthodox Jews tho","['genuine', 'question', 'tho', 'seen', 'many', 'israelis', 'calling', 'rallies', 'anti', 'semitic', 'mean', 'like', 'jewish', 'communities', 'also', 'join', 'going', 'call', 'kapo', 'orthodox', 'jews', 'tho']"
"
 why is your media not showing this Have you wondered","['media', 'showing', 'wondered']"
"Beautiful gesture 

When genuine affection can finally winwhy kill it with the infection of war

Israel Govt  You may WIN this war but you have lost the worldAt least listen to the “voice of sanity” from your own people  

Hostages shall return But the dead left forever","['beautiful', 'gesture', 'genuine', 'affection', 'finally', 'winwhy', 'kill', 'infection', 'war', 'israel', 'govt', 'may', 'win', 'war', 'lost', 'worldat', 'least', 'listen', 'voice', 'sanity', 'people', 'hostages', 'shall', 'return', 'dead', 'left', 'forever']"
You show your children only when you know firmly youre in the good side,"['show', 'children', 'know', 'firmly', 'youre', 'good', 'side']"
"Zionism is not Judaism
Hindutva is not Hinduism","['zionism', 'judaism', 'hindutva', 'hinduism']"
You really have my utmost respect all the best to you all,"['really', 'utmost', 'respect', 'best']"
Its acceptable to be antiZionist cos they have shown themselves Nazis its also acceptable to protest the murderous Isreali government but anything else,"['acceptable', 'antizionist', 'cos', 'shown', 'nazis', 'also', 'acceptable', 'protest', 'murderous', 'isreali', 'government', 'anything', 'else']"
Do your best,['best']
Once again for the back Israel is not Jews,"['back', 'israel', 'jews']"
 kind Jewish people of America。,"['kind', 'jewish', 'people']"
CeasefireNOW RemoveNetanyahu TwoStateSolution Dont make the same mistakes as Cyprus which remains divided for so many decades Learn from history,"['ceasefirenow', 'removenetanyahu', 'twostatesolution', 'dont', 'make', 'mistakes', 'cyprus', 'remains', 'divided', 'many', 'decades', 'learn', 'history']"
We stand with Palestine,"['stand', 'palestine']"
"Anthem for Palestine

AlHilalAhly GazaNow
Gazabombing starlinkforgaza 
SavePalestine
Pary for Gaza
That’s from Ukraine and that’s a Russian tank
Since when is Israel fighting in Ukraine with russian tanks I am confused
For the sake of world peace","['anthem', 'palestine', 'alhilalahly', 'gazanow', 'gazabombing', 'starlinkforgaza', 'savepalestine', 'pary', 'gaza', 'ukraine', 'russian', 'tank', 'since', 'israel', 'fighting', 'ukraine', 'russian', 'tanks', 'confused', 'sake', 'world', 'peace']"
We have to raise our voices for world peace Raise your voice for a ceasefire between Palestine and Israel Free Palestine,"['raise', 'voices', 'world', 'peace', 'raise', 'voice', 'ceasefire', 'palestine', 'israel', 'free', 'palestine']"
Boycott israel,"['boycott', 'israel']"
"yes but its not a state as it has no fixed borders
IDF
 blew up a mosque
wonder if it had people inside","['yes', 'state', 'fixed', 'borders', 'idf', 'blew', 'mosque', 'wonder', 'people', 'inside']"
Goes without saying,"['goes', 'without', 'saying']"
If there is hell on the earth that is lives of Children in Gaza ,"['hell', 'earth', 'lives', 'children', 'gaza']"
Good job By HAMAS,"['good', 'job', 'hamas']"
That is video from Ukraine Nice try,"['video', 'ukraine', 'nice', 'try']"
Don’t spread propaganda,"['spread', 'propaganda']"
Mashallah  Mashallah  Praise be to God,"['mashallah', 'mashallah', 'praise', 'god']"
The era,['era']
Say God  willing,"['say', 'god', 'willing']"
Have some patience and the smoke is still to come,"['patience', 'smoke', 'still', 'come']"
God is a right,"['god', 'right']"
Lmao no,['lmao']
Allah is the greatest,"['allah', 'greatest']"
Typical madrshachap comment,"['typical', 'madrshachap', 'comment']"
Standing for israel,"['standing', 'israel']"
Islam is a terrorist religion,"['islam', 'terrorist', 'religion']"
"Israel fearlessly fighting for the homeland of judaism people
aggression must not be tolerated
Israel","['israel', 'fearlessly', 'fighting', 'homeland', 'judaism', 'people', 'aggression', 'must', 'tolerated', 'israel']"
Hey this in not in Gaza ,"['hey', 'gaza']"
Lies and propaganda,"['lies', 'propaganda']"
The fascists have got a strong hold on Israels politics and direction Like a cult,"['fascists', 'got', 'strong', 'hold', 'israels', 'politics', 'direction', 'like', 'cult']"
"Never again 
CeasefireInGazaNOW Abu Obeida Gaza GazaCeasefire GazaGeniocide GazaWar Gazaunderattack GazaHolocaust GenocideinGaza GenocideJoe Palestine","['never', 'ceasefireingazanow', 'abu', 'obeida', 'gaza', 'gazaceasefire', 'gazageniocide', 'gazawar', 'gazaunderattack', 'gazaholocaust', 'genocideingaza', 'genocidejoe', 'palestine']"
"Dear Muslims

I said ”The world is scared of us” and many of you called for my death 

I said ”The world is laughing at us” and many of you said I was going to ”burn in an eternal Hell” and that I am ”a CIA agent” 

I said ”The world is worried about us” and many of you said…","['dear', 'muslims', 'said', 'world', 'scared', 'us', 'many', 'called', 'death', 'said', 'world', 'laughing', 'us', 'many', 'said', 'going', 'burn', 'eternal', 'hell', 'cia', 'agent', 'said', 'world', 'worried', 'us', 'many']"
Israels crimes are exposed They are clearly by far the most hated country in the world for such barbaric behaviour,"['israels', 'crimes', 'exposed', 'clearly', 'far', 'hated', 'country', 'world', 'barbaric', 'behaviour']"
Because they are coward and hypocrite nation,"['coward', 'hypocrite', 'nation']"
"So lets recap the Ceasefire today
1 Israel Shot at crowds around Al Rantisi Hospital injuring 1 man at least
2 Israel shot into a crowd of people trying to reconnect with their families in the North injuring 7 and Killing 2
3 Israel flew drones over Rafah Crossing 12","['lets', 'recap', 'ceasefire', 'today', '1', 'israel', 'shot', 'crowds', 'around', 'al', 'rantisi', 'hospital', 'injuring', '1', 'man', 'least', '2', 'israel', 'shot', 'crowd', 'people', 'trying', 'reconnect', 'families', 'north', 'injuring', '7', 'killing', '2', '3', 'israel', 'flew', 'drones', 'rafah', 'crossing', '12']"
even sky is struggling to suppress the reality,"['even', 'sky', 'struggling', 'suppress', 'reality']"
Has the ceasefire been broken already,"['ceasefire', 'broken', 'already']"
"Better to die fighting for freedom then be a prisoner all the days of your life
Bob Marley","['better', 'die', 'fighting', 'freedom', 'prisoner', 'days', 'life', 'bob', 'marley']"
Haaretz has said that racism is a big problem in that place and the regime has incited the far right to the point that they feel they’re untouchable,"['haaretz', 'said', 'racism', 'big', 'problem', 'place', 'regime', 'incited', 'far', 'right', 'point', 'feel', 'untouchable']"
Why is Sky News not showing the images But they could show the fake command center Do the images have to be approved by someone The painful thing about this when the hosts interview an Israeli on this glaring evidence they will allow them conveniently twist the narrative,"['sky', 'news', 'showing', 'images', 'could', 'show', 'fake', 'command', 'center', 'images', 'approved', 'someone', 'painful', 'thing', 'hosts', 'interview', 'israeli', 'glaring', 'evidence', 'allow', 'conveniently', 'twist', 'narrative']"
"Freedom lies in being bold
Robert Frost","['freedom', 'lies', 'bold', 'robert', 'frost']"
They are liars,['liars']
And Sunak and starmer are backing genocide this is not what the British people stand for,"['sunak', 'starmer', 'backing', 'genocide', 'british', 'people', 'stand']"
So we trust sky news now Really Glenn,"['trust', 'sky', 'news', 'really', 'glenn']"
"The ceasefire has allowed the light of truth to shine into the horror of this Genocide carried out under cover of darkness  both in terms of no electricity  of nighttime bombing
Now theyre providing the evidence of the ethnic cleansing they are committing","['ceasefire', 'allowed', 'light', 'truth', 'shine', 'horror', 'genocide', 'carried', 'cover', 'darkness', 'terms', 'electricity', 'nighttime', 'bombing', 'theyre', 'providing', 'evidence', 'ethnic', 'cleansing', 'committing']"
War criminals,"['war', 'criminals']"
Any proof of that Looks more like Hamas is shooting,"['proof', 'looks', 'like', 'hamas', 'shooting']"
"Israeli terrorist  75 years of occupation

Coward Israeli terrorist  children murderers 

God is sufficient for us and He is the best disposer of affairs
Allah is allsufficient for us and the best one to trust in","['israeli', 'terrorist', '75', 'years', 'occupation', 'coward', 'israeli', 'terrorist', 'children', 'murderers', 'god', 'sufficient', 'us', 'best', 'disposer', 'affairs', 'allah', 'allsufficient', 'us', 'best', 'one', 'trust']"
Israeli snipers opened the fire and shots on the crowd filled with men but also women and children families Alex Crawford about Israeli soldiers who shot Palestinians on their way to the north of Gaza to look for family members,"['israeli', 'snipers', 'opened', 'fire', 'shots', 'crowd', 'filled', 'men', 'also', 'women', 'children', 'families', 'alex', 'crawford', 'israeli', 'soldiers', 'shot', 'palestinians', 'way', 'north', 'gaza', 'look', 'family', 'members']"
"Notice a shift in rhetoric with MSM like Sky news and the BBC

Even they have reached a breaking point And that is saying something

They would never report such events It is clear that Zionist propaganda machine is slowly dissembling","['notice', 'shift', 'rhetoric', 'msm', 'like', 'sky', 'news', 'bbc', 'even', 'reached', 'breaking', 'point', 'saying', 'something', 'would', 'never', 'report', 'events', 'clear', 'zionist', 'propaganda', 'machine', 'slowly', 'dissembling']"
How many civilians did IOF kill on oct 7th 100 confirmed apache helicopter  tanks fired on civiliansinvestigation stalled until after war intifada reports using israeli intel —  ,"['many', 'civilians', 'iof', 'kill', 'oct', '7th', '100', 'confirmed', 'apache', 'helicopter', 'tanks', 'fired', 'civiliansinvestigation', 'stalled', 'war', 'intifada', 'reports', 'using', 'israeli', 'intel']"
And the world is watching,"['world', 'watching']"
ButbutHamas etc etc,"['butbuthamas', 'etc', 'etc']"
So it has only taken 48 days for Sky to finally start to wake up Slowly but surely,"['taken', '48', 'days', 'sky', 'finally', 'start', 'wake', 'slowly', 'surely']"
I am revolted by The Zionists and their apologists  People who support zionism disgust me  I will not vote for anyone who supports Israel,"['revolted', 'zionists', 'apologists', 'people', 'support', 'zionism', 'disgust', 'vote', 'anyone', 'supports', 'israel']"
Was waiting for confirmation for this story because it seems so nonsensical why do this Horrid and if you believe in justice there has to be accountability for this Snipers shooting into crowds is just criminal,"['waiting', 'confirmation', 'story', 'seems', 'nonsensical', 'horrid', 'believe', 'justice', 'accountability', 'snipers', 'shooting', 'crowds', 'criminal']"
Jesus Christ of almighty,"['jesus', 'christ', 'almighty']"
War crime continues during ceasefire,"['war', 'crime', 'continues', 'ceasefire']"
War creminlas do what they do always,"['war', 'creminlas', 'always']"
There’s no crime that is too much for them to commit,"['crime', 'much', 'commit']"
One word …… Barbaric,"['one', 'word', 'barbaric']"
Funny how they forgot to mention this on the other channels,"['funny', 'forgot', 'mention', 'channels']"
Israels actions have been brought to light and they are widely criticized as some of the most disliked due to perceived barbaric behavior,"['israels', 'actions', 'brought', 'light', 'widely', 'criticized', 'disliked', 'due', 'perceived', 'barbaric', 'behavior']"
Absolutely disgusting ,"['absolutely', 'disgusting']"
This is what Israel has been doing for years,"['israel', 'years']"
No words describe this horrific all too familiar war crime behaviour by Israeli soldiers ,"['words', 'describe', 'horrific', 'familiar', 'war', 'crime', 'behaviour', 'israeli', 'soldiers']"
They are the lowest of the low,"['lowest', 'low']"
 which was filled with men but also women  children families  Even when reporting the truth … it is very telling,"['filled', 'men', 'also', 'women', 'children', 'families', 'even', 'reporting', 'truth', 'telling']"
Thats the most moral military in the world,"['thats', 'moral', 'military', 'world']"
For the Israelis a ceasefire means Hamas has to stop not them,"['israelis', 'ceasefire', 'means', 'hamas', 'stop']"
This is what israhell occupation was doing for years,"['israhell', 'occupation', 'years']"
They always break promises and break covenants,"['always', 'break', 'promises', 'break', 'covenants']"
During the ceasefire That is bad,"['ceasefire', 'bad']"
"Where’s mr 
piersmorgan","['mr', 'piersmorgan']"
Isn’t there a ceasefire,['ceasefire']
Psychopaths,['psychopaths']
Snipers They were spraying lead everywhere,"['snipers', 'spraying', 'lead', 'everywhere']"
War Crimes,"['war', 'crimes']"
Shocking,['shocking']
Heartbreaking,['heartbreaking']
Ceasefire,['ceasefire']
Ceasefire,['ceasefire']
Zionist Israel Laknatullah,"['zionist', 'israel', 'laknatullah']"
They are shameless,['shameless']
Absolute scum zionist bastds,"['absolute', 'scum', 'zionist', 'bastds']"
So they’re breaking the ceasefire day 1,"['breaking', 'ceasefire', 'day', '1']"
"because of 
netanyahu
 IsraeliPM
 was so pathethic","['netanyahu', 'israelipm', 'pathethic']"
Cowards  And criminals,"['cowards', 'criminals']"
They very clearly told people not to go back North,"['clearly', 'told', 'people', 'go', 'back', 'north']"
Israel soldier cannot fight like real man,"['israel', 'soldier', 'fight', 'like', 'real', 'man']"
Will the USA or UK condemn Israel for such terrorist practice ,"['usa', 'uk', 'condemn', 'israel', 'terrorist', 'practice']"
isarelisaterrorist IsraeliNewNazism NetanyahouAcriminalofwar,"['isarelisaterrorist', 'israelinewnazism', 'netanyahouacriminalofwar']"
Oh God,"['oh', 'god']"
Seems heartless of course people are missing under the rubble and the biggest thing is grief not knowing if someone is dead or alive the hope they survive and the need inside to affirm just what happened there should be no shooting at all it is a ceasefire,"['seems', 'heartless', 'course', 'people', 'missing', 'rubble', 'biggest', 'thing', 'grief', 'knowing', 'someone', 'dead', 'alive', 'hope', 'survive', 'need', 'inside', 'affirm', 'happened', 'shooting', 'ceasefire']"
It aint the snipers fault they are just looking for a promotion,"['aint', 'snipers', 'fault', 'looking', 'promotion']"
Is this not what they have been doing for 75 years,"['75', 'years']"
Western propaganda media seems to have enough of Arpatheid Israel lies,"['western', 'propaganda', 'media', 'seems', 'enough', 'arpatheid', 'israel', 'lies']"
“The most moral army in the world” Apparently,"['moral', 'army', 'world', 'apparently']"
IsraelIsChildKillerDemons,['israelischildkillerdemons']
Israel can have foot soldiers inform Palestinians not to advance to the north and having snipers fire above is dangerous to say the least during a ceasefire period Israel please use common human sense,"['israel', 'foot', 'soldiers', 'inform', 'palestinians', 'advance', 'north', 'snipers', 'fire', 'dangerous', 'say', 'least', 'ceasefire', 'period', 'israel', 'please', 'use', 'common', 'human', 'sense']"
Sky News is fake news,"['sky', 'news', 'fake', 'news']"
Her plastic surgeon needs to be fired,"['plastic', 'surgeon', 'needs', 'fired']"
Because North Gaza is being ethnically cleansed,"['north', 'gaza', 'ethnically', 'cleansed']"
ISREAL SNIPERS FIRED INTO CROWDS OF MEN WOMEN AND CHILDREN INJUREING AND KILLING TWO THIS HAPPENED TODAY THIS IS BEYOND DISGUSTING,"['isreal', 'snipers', 'fired', 'crowds', 'men', 'women', 'children', 'injureing', 'killing', 'two', 'happened', 'today', 'beyond', 'disgusting']"
"Looking for your family members and going back to the houses IDF demolished is a serious threat to Israeli safety right 
JoeBiden
  and 
JustinTrudeau
its all selfdefense Shame","['looking', 'family', 'members', 'going', 'back', 'houses', 'idf', 'demolished', 'serious', 'threat', 'israeli', 'safety', 'right', 'joebiden', 'justintrudeau', 'selfdefense', 'shame']"
I have never from day one believed Israel not to violate the ceasefire deal They have never been honest and they will never be Hypocrisy lies and false propaganda is what they are good at Why shooting at innocent women children old and men for returning back to the land,"['never', 'day', 'one', 'believed', 'israel', 'violate', 'ceasefire', 'deal', 'never', 'honest', 'never', 'hypocrisy', 'lies', 'false', 'propaganda', 'good', 'shooting', 'innocent', 'women', 'children', 'old', 'men', 'returning', 'back', 'land']"
"She acknowledged Palestinian children 
P45 in the post","['acknowledged', 'palestinian', 'children', 'p45', 'post']"
evil,['evil']
Wars and truces have their moral rules Israel was established by gangs gathered from all countries of the world Do not be rooted,"['wars', 'truces', 'moral', 'rules', 'israel', 'established', 'gangs', 'gathered', 'countries', 'world', 'rooted']"
Firing on noncombatants in other words These are war crimes The holocaust was horrible But why are you as a people taking it out on the the people muslims that have historically protected the chosen people,"['firing', 'noncombatants', 'words', 'war', 'crimes', 'holocaust', 'horrible', 'people', 'taking', 'people', 'muslims', 'historically', 'protected', 'chosen', 'people']"
People are trying to get back to collect animals and belongs ,"['people', 'trying', 'get', 'back', 'collect', 'animals', 'belongs']"
End the Gazacaust now,"['end', 'gazacaust']"
How is this news this is what the Israeli Genocidal Force do on a daily basis The IGF have murdered over 14000 civilians since the start of their Genocidal assault on the Palestinian people EndIsraeliGenocide,"['news', 'israeli', 'genocidal', 'force', 'daily', 'basis', 'igf', 'murdered', '14000', 'civilians', 'since', 'start', 'genocidal', 'assault', 'palestinian', 'people', 'endisraeligenocide']"
Israel nazi,"['israel', 'nazi']"
"How is this even remotely acceptable legal permissablewhere is the UN Where is sanity
The Isreali Government is vile loathsome and one can only wonder why it has US UK and EU support","['even', 'remotely', 'acceptable', 'legal', 'permissablewhere', 'un', 'sanity', 'isreali', 'government', 'vile', 'loathsome', 'one', 'wonder', 'us', 'uk', 'eu', 'support']"
"Based on all statements and actions of Israel and its Western backers they are trying to ethnically cleanse northern Gaza and annex it

Some of us already said this but people are not paying enough attention And no politician is doing anything concrete to stop that","['based', 'statements', 'actions', 'israel', 'western', 'backers', 'trying', 'ethnically', 'cleanse', 'northern', 'gaza', 'annex', 'us', 'already', 'said', 'people', 'paying', 'enough', 'attention', 'politician', 'anything', 'concrete', 'stop']"
A savage and brutal people Their true nature has been unveiled,"['savage', 'brutal', 'people', 'true', 'nature', 'unveiled']"
Twitter really didnt want to load this video,"['twitter', 'really', 'didnt', 'want', 'load', 'video']"
I wonder how many of those planning to march on Sunday think this is Israel defending itself,"['wonder', 'many', 'planning', 'march', 'sunday', 'think', 'israel', 'defending']"
Isn’t that terrorism,['terrorism']
"Isreali hostages
Palestine prisoners

Were on to you msm","['isreali', 'hostages', 'palestine', 'prisoners', 'msm']"
Whats been happening lately ,"['whats', 'happening', 'lately']"
And they were told not too ,['told']
Imagine what will happen after the 4 days,"['imagine', 'happen', '4', 'days']"
if true this is really abominable Disgusting,"['true', 'really', 'abominable', 'disgusting']"
Camera captures,"['camera', 'captures']"
I think they said it was closed and to move to the South,"['think', 'said', 'closed', 'move', 'south']"
Hamas snipers,"['hamas', 'snipers']"
Don’t believe anything sky or bbc says anymore sorry,"['believe', 'anything', 'sky', 'bbc', 'says', 'anymore', 'sorry']"
But wont show the footage What a surprise,"['wont', 'show', 'footage', 'surprise']"
"Irgun
So much
CDN","['irgun', 'much', 'cdn']"
Shame on the bringthemhomenow,"['shame', 'bringthemhomenow']"
This monkey nation will never be but promise,"['monkey', 'nation', 'never', 'promise']"
So wheres the video,"['wheres', 'video']"
VoTE blue nO maTTEr wHat,"['vote', 'blue', 'matter']"
Wasnt it part of the agreement not to return to the North because its still a war zone  Ceasefire 7am hamas fire rockets at Israel 715am ,"['wasnt', 'part', 'agreement', 'return', 'north', 'still', 'war', 'zone', 'ceasefire', '7am', 'hamas', 'fire', 'rockets', 'israel', '715am']"
Israel breaks the cease fire,"['israel', 'breaks', 'cease', 'fire']"
Not true,['true']
It’s an unpalatable truth  but if a country is attacked it will fight back  if October 7th had not happened we would not be where we are today ,"['unpalatable', 'truth', 'country', 'attacked', 'fight', 'back', 'october', '7th', 'happened', 'would', 'today']"
the terms of the truce allowed movement from “north to south” we’ve known this for days,"['terms', 'truce', 'allowed', 'movement', 'north', 'south', 'known', 'days']"
When an army tells you not to go somewhere you should listen,"['army', 'tells', 'go', 'somewhere', 'listen']"
Over under for time to reaction  2 days,"['time', 'reaction', '2', 'days']"
Not true,['true']
They deserve it ,['deserve']
Source of news hamas,"['source', 'news', 'hamas']"
But in the bloody arithmetic of Hamas’s leaders the carnage is not the regrettable outcome of a big miscalculation Quite the opposite they say It is the necessary cost of a great accomplishment,"['bloody', 'arithmetic', 'hamas', 'leaders', 'carnage', 'regrettable', 'outcome', 'big', 'miscalculation', 'quite', 'opposite', 'say', 'necessary', 'cost', 'great', 'accomplishment']"
Release the hostages That simple,"['release', 'hostages', 'simple']"
Outrageous lies What proof has she that Israeli snipers were responsible as opposed to the far more likely HamasIsis snipers,"['outrageous', 'lies', 'proof', 'israeli', 'snipers', 'responsible', 'opposed', 'far', 'likely', 'hamasisis', 'snipers']"
"Reconnect with their Hamas family
Every sane person would stay away from the war zone Only Hamas fighters are eager to going back","['reconnect', 'hamas', 'family', 'every', 'sane', 'person', 'would', 'stay', 'away', 'war', 'zone', 'hamas', 'fighters', 'eager', 'going', 'back']"
Israel way to do business,"['israel', 'way', 'business']"
They can’t go back to the north according to the ceasefire agreement,"['go', 'back', 'north', 'according', 'ceasefire', 'agreement']"
"Fact check

There is no evidence to support this claim","['fact', 'check', 'evidence', 'support', 'claim']"
Why do people dondumb things and blame israel They were warned north Gaza is a war zone,"['people', 'dondumb', 'things', 'blame', 'israel', 'warned', 'north', 'gaza', 'war', 'zone']"
I don’t think the war was declared over What did they think would happen,"['think', 'war', 'declared', 'think', 'would', 'happen']"
Could be Hamas soldiers getting back into position,"['could', 'hamas', 'soldiers', 'getting', 'back', 'position']"
If only SkyNews could be trusted for something…,"['skynews', 'could', 'trusted']"
These are murders And murders by military men of civilians during a war this is a war crime,"['murders', 'murders', 'military', 'men', 'civilians', 'war', 'war', 'crime']"
That’s Hamas’ MO Not the IDF,"['hamas', 'mo', 'idf']"
ABC of Israel DNA killing civilians children and women What is new in what happened,"['abc', 'israel', 'dna', 'killing', 'civilians', 'children', 'women', 'new', 'happened']"
They need to release the video if its true,"['need', 'release', 'video', 'true']"
This is 100 true,"['100', 'true']"
I guess all the fliers passed out telling people that returning is dangerous and forbidden were true,"['guess', 'fliers', 'passed', 'telling', 'people', 'returning', 'dangerous', 'forbidden', 'true']"
Tell me again how it is Hamas that Cant be trusted to keep a Cease fire,"['tell', 'hamas', 'cant', 'trusted', 'keep', 'cease', 'fire']"
The enemy is Islam,"['enemy', 'islam']"
History repeats itself,"['history', 'repeats']"
Sky liars,"['sky', 'liars']"
Much as every decent person hates war Id wouldnt mind seeing  Israel Defense Force having to confront a real army whether the Syrian Arabs the Russians or the Ukrainians  Theyre cowards,"['much', 'every', 'decent', 'person', 'hates', 'war', 'id', 'wouldnt', 'mind', 'seeing', 'israel', 'defense', 'force', 'confront', 'real', 'army', 'whether', 'syrian', 'arabs', 'russians', 'ukrainians', 'theyre', 'cowards']"
Israel snipers  later blame hamas What a tactics Uncivilzed zionist,"['israel', 'snipers', 'later', 'blame', 'hamas', 'tactics', 'uncivilzed', 'zionist']"
"When asked why the Israeli forces were shooting dead protesters at the Gaza crossings
Michal Maayan — Well we cant put all these people in jail","['asked', 'israeli', 'forces', 'shooting', 'dead', 'protesters', 'gaza', 'crossings', 'michal', 'maayan', 'well', 'cant', 'put', 'people', 'jail']"
They were told not to return warned over and over again Sent fliers not to return But still they tried Shots fired in air did not deter them so they were shot in the legs A couple died It is a war If told not to return  don’t,"['told', 'return', 'warned', 'sent', 'fliers', 'return', 'still', 'tried', 'shots', 'fired', 'air', 'deter', 'shot', 'legs', 'couple', 'died', 'war', 'told', 'return']"
All the while the Hamas government of Palestine praise them for being killed,"['hamas', 'government', 'palestine', 'praise', 'killed']"
"Dafna Elyakim is only 14 and is held imprisoned by Hamas with her sister EllaHer father was killed and she was there when it happened
Her fathers partner was forced to lure even more children out of their homes so that Hamas ","['dafna', 'elyakim', '14', 'held', 'imprisoned', 'hamas', 'sister', 'ellaher', 'father', 'killed', 'happened', 'fathers', 'partner', 'forced', 'lure', 'even', 'children', 'homes', 'hamas']"
Idf is a terrorist organisation,"['idf', 'terrorist', 'organisation']"
"The plight of the Palistinians is not just like aparthied or holocausegenocide It is like slavery

The Israelis occupy and settled on enslaved Palistinian land which they profit and benefit When they dismantle it they will compensate the settlement land ownersthiefs","['plight', 'palistinians', 'like', 'aparthied', 'holocausegenocide', 'like', 'slavery', 'israelis', 'occupy', 'settled', 'enslaved', 'palistinian', 'land', 'profit', 'benefit', 'dismantle', 'compensate', 'settlement', 'land', 'ownersthiefs']"
This video is from the video to your toe After a second of this there is more room for use in the wortels so there is a large open source in the moedized environment and it is better to use it on the profit you can also find it with them,"['video', 'video', 'toe', 'second', 'room', 'use', 'wortels', 'large', 'open', 'source', 'moedized', 'environment', 'better', 'use', 'profit', 'also', 'find']"
